,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
91,Broken Hill,0,AU,1567541560,40,-31.97,141.45,53.6,6.93
92,Georgetown,20,GY,1567541802,66,6.8,-58.16,87.8,11.41
93,Mount Gambier,90,AU,1567541802,100,-37.83,140.78,44.6,8.05
94,Socorro,20,US,1567541802,20,31.65,-106.3,95.0,8.05
95,Hobart,0,AU,1567541800,57,-42.88,147.33,50.0,8.05
96,Gat,75,SN,1567541802,63,14.69,-16.54,91.4,2.24
97,Ilulissat,20,GL,1567541802,52,69.22,-51.1,46.4,4.7
98,Lincolnton,75,US,1567541606,40,35.47,-81.25,93.2,4.7
99,Ayan,0,IR,1567541803,63,38.23,44.7,53.91,4.97
100,Hilo,20,US,1567541803,62,19.71,-155.08,84.99,6.93
101,San Patricio,0,PY,1567541803,67,-26.98,-56.83,63.63,7.07
102,Saurimo,100,AO,1567541803,33,-9.66,20.4,78.21,2.55
103,Mahebourg,75,MU,1567541610,73,-20.41,57.7,73.4,11.41
104,Lokosovo,73,RU,1567541803,96,61.13,74.84,45.99,6.42
105,Grindavik,0,IS,1567541803,71,63.84,-22.43,51.8,11.41
106,Tacuarembo,0,UY,1567541803,71,-31.73,-55.98,46.71,5.7
107,Zhezkazgan,0,KZ,1567541804,49,47.8,67.71,52.11,4.99
108,Shimoda,28,JP,1567541804,93,34.7,138.93,75.99,2.86
109,Cidreira,76,BR,1567541804,64,-30.17,-50.22,53.73,7.74
110,San Rafael,0,AR,1567541804,15,-34.61,-68.33,52.47,13.11
111,Puerto Ayora,20,EC,1567541523,61,-0.74,-90.35,80.6,20.8
112,Pesochnoye,0,RU,1567541804,83,58.01,39.18,52.47,5.55
113,Mbanza-Ngungu,53,CD,1567541804,62,-5.25,14.87,76.23,6.69
114,Bathsheba,40,BB,1567541805,66,13.22,-59.52,87.8,19.46
115,Rawson,100,AR,1567541805,56,-43.3,-65.11,38.07,26.44
116,Mukhen,93,RU,1567541805,86,48.19,136.14,57.51,8.3
117,Tuktoyaktuk,20,CA,1567541805,75,69.44,-133.03,44.6,14.99
118,Vanavara,0,RU,1567541805,90,60.35,102.28,41.31,2.08
119,Talnakh,90,RU,1567541805,100,69.49,88.39,44.6,4.47
120,Narsaq,100,GL,1567541805,62,60.91,-46.05,53.6,18.34
121,Saint George,20,GR,1567541566,57,39.45,22.34,79.0,10.29
122,Provideniya,90,RU,1567541583,93,64.42,-173.23,50.0,11.18
123,Burnie,71,AU,1567541806,82,-41.05,145.91,48.0,3.0
124,Cape Town,75,ZA,1567541567,72,-33.93,18.42,60.01,14.99
125,Xiaoweizhai,38,CN,1567541806,96,26.23,107.51,61.11,2.26
126,Evensk,88,RU,1567541806,51,61.92,159.24,49.95,3.06
127,Los Llanos de Aridane,0,ES,1567541695,64,28.66,-17.92,75.2,12.75
128,Komsomolskiy,100,RU,1567541806,79,67.55,63.78,49.41,5.88
129,Nyurba,100,RU,1567541806,98,63.29,118.35,45.81,2.33
130,Itarema,0,BR,1567541807,68,-2.92,-39.92,78.21,14.43
131,Kununurra,87,AU,1567541807,77,-15.77,128.74,59.0,2.24
132,Saint-Francois,0,FR,1567541807,39,46.42,3.91,66.2,2.24
133,Nikolskoye,75,RU,1567541807,87,59.7,30.79,57.0,2.24
134,Chara,20,GR,1567541807,57,39.42,22.43,79.0,10.29
135,Richards Bay,0,ZA,1567541807,76,-28.77,32.06,71.19,12.66
136,Saint Anthony,1,US,1567541808,12,43.97,-111.68,87.8,9.17
137,Dikson,100,RU,1567541808,90,73.51,80.55,39.15,8.59
138,Geraldton,90,CA,1567541808,62,49.72,-86.95,55.4,8.05
139,Beloha,0,MG,1567541808,80,-25.17,45.06,61.47,7.9
140,Adrar,100,DZ,1567541808,89,27.87,-0.29,86.0,34.45
141,Matagami,2,NG,1567541809,91,9.67,8.4,70.11,3.58
142,Santa Vitoria do Palmar,0,BR,1567541809,66,-33.52,-53.37,48.15,7.54
143,Yerbogachen,96,RU,1567541809,88,61.28,108.01,45.81,8.81
144,Alice Springs,67,AU,1567541809,15,-23.7,133.88,48.2,10.69
145,Kieta,100,PG,1567541810,77,-6.22,155.63,80.55,5.35
146,Mahasamund,100,IN,1567541810,96,21.11,82.1,74.79,10.58
147,Alta Floresta,46,BR,1567541810,20,-9.87,-56.08,98.01,2.15
148,Pisz,0,PL,1567541810,62,53.63,21.81,59.0,3.36
149,Humboldt,0,CA,1567541810,47,52.21,-105.12,68.85,9.28
150,Ancud,0,CL,1567541566,61,-41.87,-73.83,50.0,8.05
151,Yumen,43,CN,1567541811,31,40.29,97.04,69.03,6.96
152,Sitka,0,US,1567541811,32,37.17,-99.65,98.01,10.0
153,Chuy,48,UY,1567541811,58,-33.69,-53.46,48.69,11.5
154,Bossier City,40,US,1567541811,39,32.52,-93.73,96.8,3.36
155,Krasnoarmeysk,0,RU,1567541811,82,56.12,38.15,68.0,6.71
156,Dwarka,75,IN,1567541811,79,28.58,77.04,91.0,4.7
157,Pevek,0,RU,1567541812,84,69.7,170.27,37.53,3.04
158,Locri,75,IT,1567541812,88,38.24,16.26,75.2,4.7
159,Tahoua,77,NE,1567541812,40,14.89,5.26,92.61,2.42
160,Rujewa,23,TZ,1567541812,55,-8.7,34.38,67.05,9.42
161,Bonthe,100,SL,1567541812,89,7.53,-12.5,77.13,11.74
162,Okhotsk,6,RU,1567541812,88,59.36,143.24,51.57,4.72
163,Pauini,83,BR,1567541813,38,-7.71,-67.0,94.41,1.92
164,Sandur,0,IQ,1567541813,24,36.91,43.06,73.18,2.26
165,Atuona,0,PF,1567541813,76,-9.8,-139.03,79.29,14.32
166,Faanui,52,PF,1567541813,84,-16.48,-151.75,77.68,18.39
167,Poum,75,MK,1567541813,63,41.28,20.71,66.2,2.24
168,Champerico,40,MX,1567541813,51,16.38,-93.6,86.0,4.7
169,Billings,20,US,1567541800,26,45.79,-108.5,87.01,5.82
170,Fare,20,PF,1567541814,84,-16.7,-151.02,76.95,18.28
171,Half Moon Bay,90,US,1567541649,82,37.46,-122.43,80.01,9.17
172,Moron,11,HT,1567541814,67,18.56,-74.26,85.05,3.91
173,Ugoofaaru,100,MV,1567541814,78,5.67,73.0,81.99,9.84
174,Esperance,40,AU,1567541699,81,-33.86,121.89,48.2,13.87
175,Corpus Christi,1,US,1567541713,41,27.8,-97.4,96.01,19.46
176,Homer,75,US,1567541806,82,59.64,-151.54,60.8,12.75
177,Carnarvon,0,ZA,1567541814,11,-30.97,22.13,54.63,4.25
178,Ipilan,86,PH,1567541815,62,8.84,117.9,80.91,4.5
179,Tasiilaq,26,GL,1567541815,56,65.61,-37.64,44.6,4.7
180,Tura,100,RU,1567541607,91,64.27,100.22,48.69,5.5
181,Verkhnyaya Inta,8,RU,1567541815,88,65.99,60.32,44.73,7.36
182,Labuhan,0,ID,1567541815,61,-2.54,115.51,66.87,2.13
183,Codrington,0,AU,1567541816,93,-28.95,153.24,57.0,8.05
184,Ola,0,RU,1567541816,88,59.58,151.3,50.31,2.86
185,Strezhevoy,0,RU,1567541816,100,60.73,77.6,50.0,1.59
186,Biak,100,ID,1567541816,90,-0.91,122.88,57.15,2.82
187,Kenai,40,US,1567541816,67,60.55,-151.26,60.01,10.29
188,Minden,1,US,1567541816,51,40.5,-98.95,84.99,16.11
189,Kutum,0,SD,1567541817,33,14.2,24.66,82.53,6.13
190,Montrose,20,GB,1567541817,93,56.71,-2.47,60.8,16.11
191,Hun,75,BE,1567541817,77,50.34,4.87,62.01,6.93
192,Wolsztyn,0,PL,1567541817,48,52.11,16.12,64.4,2.24
193,Toora-Khem,2,RU,1567541817,92,52.47,96.11,42.39,0.89
194,Victoria,75,BN,1567541817,83,5.28,115.24,82.4,2.24
195,Garissa,19,KE,1567541818,75,-0.46,39.64,74.25,20.67
196,Norman Wells,75,CA,1567541818,81,65.28,-126.83,53.6,12.75
197,Aklavik,75,CA,1567541818,76,68.22,-135.01,50.0,11.41
198,Tianpeng,0,CN,1567541818,89,28.88,112.34,67.59,2.91
199,Vila Velha,20,BR,1567541818,65,-3.71,-38.6,82.4,16.11
200,Anahuac,42,MX,1567541819,70,26.44,-109.02,93.0,5.99
201,Harmanli,5,BG,1567541819,49,41.93,25.9,69.8,4.7
202,Alanya,20,TR,1567541819,83,36.55,32.0,79.0,4.7
203,Ridgetown,20,CA,1567541819,78,42.44,-81.88,80.01,17.22
204,Kalmunai,100,LK,1567541819,77,7.42,81.82,76.23,3.22
205,Tilichiki,25,RU,1567541820,64,60.47,166.1,45.99,5.21
206,Zalantun,13,CN,1567541820,92,48.0,122.72,59.49,1.7
207,Gunnedah,0,AU,1567541820,56,-30.98,150.25,42.8,3.36
208,Tabou,19,CI,1567541820,93,4.42,-7.36,74.61,4.25
209,Teknaf,100,BD,1567541820,86,20.86,92.31,81.81,24.07
210,Lakhipur,100,IN,1567541820,79,26.03,90.3,83.25,8.19
211,Castro,0,CL,1567541821,61,-42.48,-73.76,50.0,8.05
212,Peterhead,100,AU,1567541821,87,-34.83,138.5,55.0,6.93
213,Lasa,40,CY,1567541821,74,34.92,32.53,78.8,8.05
214,Nanortalik,100,GL,1567541821,87,60.14,-45.24,46.71,14.32
215,Hamilton,90,CA,1567541589,73,43.26,-79.87,78.01,13.87
216,Port Hardy,75,CA,1567541821,87,50.7,-127.42,59.0,8.05
217,Nikolayevka,0,RU,1567541821,56,46.73,38.57,75.87,4.92
218,Havoysund,0,NO,1567541822,58,71.0,24.66,55.4,23.04
219,Trelew,100,AR,1567541694,56,-43.25,-65.31,38.07,26.44
220,South River,40,US,1567541822,47,40.45,-74.39,84.99,8.05
221,Bethel,90,US,1567541822,81,60.79,-161.76,53.6,23.04
222,Kalang,0,AU,1567541822,93,-30.51,152.69,46.99,4.7
223,Lorengau,44,PG,1567541822,83,-2.02,147.27,79.83,6.55
224,Kizema,0,RU,1567541823,88,61.11,44.83,48.69,3.91
225,Sao Gabriel da Cachoeira,100,BR,1567541823,86,-0.13,-67.09,80.55,3.04
226,Torbay,90,CA,1567541654,77,47.66,-52.73,64.99,26.4
227,Kurilsk,0,RU,1567541528,82,45.23,147.88,60.21,13.27
228,Gamba,100,CN,1567541823,81,28.28,88.52,40.95,3.74
229,Witu,20,KE,1567541823,78,-2.39,40.44,77.0,8.23
230,Hobyo,54,SO,1567541823,76,5.35,48.53,77.85,29.42
231,Hualmay,3,PE,1567541824,86,-11.1,-77.61,60.75,9.08
232,Nelson Bay,0,AU,1567541824,93,-32.72,152.14,54.0,2.24
233,Bath,90,GB,1567541766,82,51.38,-2.36,64.4,8.05
234,Baghdad,0,IQ,1567541824,29,33.3,44.38,89.6,2.24
235,San Francisco,20,CO,1567541601,23,1.17,-76.88,82.4,16.11
236,Portland,40,US,1567541824,64,43.66,-70.25,77.0,8.05
237,Mehamn,0,NO,1567541824,81,71.03,27.85,50.0,2.24
238,Tiksi,32,RU,1567541825,91,71.64,128.87,39.69,5.53
239,Bambous Virieux,75,MU,1567541825,73,-20.34,57.76,73.0,6.93
240,Chor,94,PK,1567541825,74,25.52,69.77,85.41,13.51
241,Ketchikan,90,US,1567541627,87,55.34,-131.65,60.8,6.93
242,Harper,40,US,1567541825,28,30.3,-99.24,96.01,8.05
243,Vanimo,29,PG,1567541825,82,-2.67,141.3,79.47,8.81
244,Ibra,45,OM,1567541825,37,22.69,58.55,81.27,2.17
245,Gombong,98,ID,1567541826,85,-7.19,109.31,69.03,7.65
246,Cangucu,20,BR,1567541826,38,-31.39,-52.68,59.0,8.05
247,Sorland,75,NO,1567541826,81,67.67,12.69,50.0,21.92
248,Kavaratti,87,IN,1567541826,78,10.57,72.64,81.99,20.89
249,Bonga,100,ET,1567541826,98,7.26,36.25,58.59,1.21
250,Sao Joao da Barra,0,BR,1567541826,65,-21.64,-41.05,82.4,20.8
251,Touros,40,BR,1567541827,74,-5.2,-35.46,80.6,13.87
252,Thinadhoo,26,MV,1567541579,77,0.53,72.93,82.53,11.54
253,Guerrero,0,AR,1567541827,30,-24.19,-65.45,68.0,13.87
254,Diffa,40,NE,1567541827,41,13.32,12.61,89.01,9.91
255,Kirakira,100,SB,1567541827,87,-10.46,161.92,78.21,16.49
256,Quesnel,1,CA,1567541827,52,52.98,-122.49,69.8,4.7
257,Cranbrook,75,CA,1567541828,33,49.51,-115.76,75.2,4.7
258,Vidim,0,CZ,1567541828,62,50.47,14.53,60.01,5.82
259,Resistencia,0,AR,1567541828,42,-27.45,-58.99,68.0,9.17
260,Karratha,0,AU,1567541828,36,-20.74,116.85,66.33,14.9
261,Naryan-Mar,27,RU,1567541828,90,67.67,53.09,52.29,8.66
262,Calvinia,0,ZA,1567541828,28,-31.47,19.78,55.18,0.87
263,Pisco,40,PE,1567541829,30,-13.71,-76.2,71.6,8.05
264,San Joaquin,52,PH,1567541829,91,10.59,122.14,75.69,1.61
265,Pangnirtung,90,CA,1567541829,93,66.15,-65.72,44.6,10.29
266,Zorritos,0,PE,1567541829,33,-3.68,-80.68,89.6,9.17
267,Staraya Russa,100,RU,1567541829,95,57.99,31.36,52.83,8.25
268,Vyazemskiy,40,RU,1567541829,79,47.53,134.76,56.79,3.83
269,Phultala,100,BD,1567541829,91,22.7,89.52,80.01,6.73
270,Taoudenni,31,ML,1567541830,22,22.68,-3.98,100.18,21.81
271,Pochutla,75,MX,1567541830,49,15.74,-96.47,93.0,3.69
272,Kurumkan,100,RU,1567541830,92,54.33,110.32,44.55,2.06
273,Batagay,97,RU,1567541830,70,67.65,134.64,41.49,2.17
274,Sycamore,40,US,1567541830,94,41.99,-88.69,81.0,8.05
275,Katobu,34,ID,1567541831,96,-4.94,122.53,67.59,0.78
276,Severobaykalsk,58,RU,1567541831,87,55.65,109.32,42.03,2.91
277,Lamu,0,CN,1567541831,81,35.77,102.37,51.03,1.28
278,Vostok,0,RU,1567541831,90,46.45,135.83,51.93,3.09
279,Doksy,0,CZ,1567541831,62,50.56,14.66,64.4,5.82
280,Guthrie,1,US,1567541831,49,35.88,-97.43,95.0,8.05
281,Port Lincoln,100,AU,1567541581,86,-34.72,135.86,57.87,4.34
282,Alofi,77,NU,1567541802,83,-19.06,-169.92,73.4,10.29
283,Henties Bay,0,NA,1567541832,93,-22.12,14.28,54.0,1.99
284,Neiafu,75,TO,1567541832,78,-18.65,-173.98,77.0,13.87
285,Paita,0,PE,1567541832,290,-5.09,-81.11,62.6,11.41
286,Lake Jackson,20,US,1567541832,49,29.03,-95.43,96.01,9.17
287,Wanning,0,AT,1567541832,77,48.64,13.53,59.0,2.24
288,Mardin,0,TR,1567541645,24,37.32,40.72,70.11,4.85
289,Langarud,75,IR,1567541833,94,37.2,50.15,73.4,6.93
290,Tabligbo,40,TG,1567541833,88,6.59,1.5,78.8,9.17
291,Pershotravneve,100,UA,1567541833,82,51.38,28.88,54.27,10.54
292,Tabuk,100,PH,1567541833,94,17.41,121.44,63.27,3.11
293,Vilyuysk,9,RU,1567541833,94,63.75,121.63,36.63,1.7
294,Rocha,67,UY,1567541834,66,-34.48,-54.34,43.47,9.15
295,Rawdon,75,CA,1567541834,45,46.05,-73.71,69.01,3.36
296,Port Augusta,40,AU,1567541834,66,-32.49,137.76,55.99,4.7
297,Kaitangata,100,NZ,1567541834,78,-46.28,169.85,43.0,3.0
298,Jiwani,17,PK,1567541834,77,25.05,61.74,83.61,11.52
299,Gelemso,54,ET,1567541834,73,8.81,40.52,67.05,13.89
300,Iqaluit,90,CA,1567541835,93,63.75,-68.52,42.8,21.92
301,Port Hedland,75,AU,1567541835,100,-20.31,118.58,59.0,8.05
302,Zhifang,0,CN,1567541835,83,30.35,114.31,71.6,6.71
303,Cabo San Lucas,40,MX,1567541558,74,22.89,-109.91,93.0,4.7
304,Nalut,0,LY,1567541835,66,31.86,10.98,73.18,8.72
305,Panguna,92,PG,1567541835,82,-6.32,155.48,80.73,12.66
306,Nome,40,US,1567541835,46,30.04,-94.42,96.01,11.41
307,Flinders,0,AU,1567541836,87,-34.58,150.85,48.99,4.7
308,Oktyabrskoye,20,RU,1567541836,93,56.73,85.44,48.0,4.47
309,Lebu,75,ET,1567541836,82,8.96,38.73,60.8,6.93
310,Oistins,40,BB,1567541836,66,13.07,-59.53,87.8,19.46
311,Mahajanga,20,MG,1567541836,83,-15.72,46.32,75.2,1.12
312,Puerto Lempira,40,HN,1567541836,63,15.27,-83.77,91.4,9.17
313,Tommot,100,RU,1567541837,97,58.97,126.27,47.97,4.81
314,Paamiut,100,GL,1567541837,92,61.99,-49.67,45.81,39.37
315,Tamale,91,GH,1567541729,82,9.4,-0.84,77.85,3.89
316,Sobolevo,88,RU,1567541837,95,54.43,31.9,58.77,10.76
317,Praxedis Guerrero,20,MX,1567541837,20,31.37,-106.02,95.0,8.05
318,Kirovsk,100,RU,1567541837,79,67.62,33.66,51.03,6.11
319,Sur,93,OM,1567541838,53,22.57,59.53,83.97,9.08
320,Constitucion,40,MX,1567541838,53,23.99,-104.67,73.0,16.15
321,Kayerkan,90,RU,1567541838,100,69.35,87.76,44.6,4.47
322,Sao Jose da Coroa Grande,0,BR,1567541838,91,-8.9,-35.15,71.01,4.36
323,Tiarei,40,PF,1567541838,69,-17.53,-149.33,84.0,3.36
324,Dalby,0,AU,1567541839,44,-27.18,151.26,43.0,4.7
325,Doha,0,QA,1567541642,70,25.29,51.53,93.2,4.7
326,Cayeli,54,TR,1567541839,85,41.09,40.73,65.43,4.45
327,Zilupe,100,RU,1567541839,97,56.39,28.12,50.85,3.62
328,Orlik,40,PL,1567541839,67,53.95,17.74,60.01,8.05
329,Zaozerne,19,UA,1567541839,90,51.37,23.94,52.65,5.44
330,Aljezur,0,PT,1567541840,56,37.31,-8.8,71.01,9.89
331,Parangan,100,PH,1567541840,78,5.08,119.94,82.53,10.33
332,Souillac,0,FR,1567541840,37,45.6,-0.6,71.6,5.82
333,Solnechnyy,33,RU,1567541840,84,50.72,136.64,50.85,1.16
334,Hyvinkaa,0,FI,1567541840,76,60.63,24.87,55.4,6.93
335,Te Anau,100,NZ,1567541619,88,-45.41,167.72,40.77,0.6
336,Taganak,75,PH,1567541840,94,6.08,118.3,78.8,6.02
337,Grand-Lahou,60,CI,1567541841,96,5.24,-5.0,72.81,2.51
338,Morondava,57,MG,1567541841,67,-20.3,44.28,75.51,23.04
339,Aksarka,100,RU,1567541841,81,66.56,67.8,48.87,2.59
340,Longyearbyen,90,NO,1567541841,98,78.22,15.63,33.8,9.17
341,Kaitong,84,CN,1567541841,91,44.81,123.15,65.97,8.95
342,Piet Retief,0,ZA,1567541567,35,-27.01,30.81,47.61,1.57
343,Dali,97,CN,1567541842,60,34.79,109.94,70.11,7.99
344,Kruisfontein,1,ZA,1567541842,92,-34.0,24.73,51.57,8.01
345,Elko,1,US,1567541842,22,40.83,-115.76,90.0,4.7
346,Le Port,0,FR,1567541842,49,42.87,1.37,63.0,5.01
347,Vila Franca do Campo,20,PT,1567541842,68,37.72,-25.43,71.01,12.75
348,Chingola,33,ZM,1567541624,55,-12.55,27.86,66.33,7.61
349,Saldanha,0,PT,1567541842,28,41.42,-6.55,76.77,1.63
350,Klaksvik,100,FO,1567541843,70,62.23,-6.59,48.2,10.29
351,Trat,100,TH,1567541843,89,12.25,102.51,81.0,3.4
352,Vysokogornyy,0,RU,1567541843,95,50.1,139.13,46.17,2.15
353,Romani,0,HR,1567541843,52,45.33,13.81,72.0,5.82
354,Sechura,56,PE,1567541843,91,-5.56,-80.82,61.83,18.48
355,Tezu,97,IN,1567541843,90,27.93,96.16,74.25,3.27
356,Skovorodino,100,RU,1567541843,98,53.99,123.94,51.57,2.86
357,Ustka,94,PL,1567541844,80,54.58,16.86,63.63,17.96
358,Bitung,20,ID,1567541844,88,1.44,125.19,69.8,2.24
359,San Ramon,20,NI,1567541844,40,12.92,-85.84,86.0,5.57
360,Sao Felix do Xingu,92,BR,1567541681,58,-6.64,-51.99,83.43,4.07
361,Ahuimanu,40,US,1567541844,48,21.44,-157.84,87.8,12.75
362,East London,0,ZA,1567541844,80,-33.02,27.91,54.27,3.87
363,Leshukonskoye,0,RU,1567541844,90,64.9,45.76,53.91,5.39
364,Poronaysk,21,RU,1567541845,80,49.22,143.1,53.01,1.72
365,Wilmington,1,US,1567541644,37,39.75,-75.55,88.0,2.26
366,Marrakesh,40,MA,1567541550,45,31.63,-7.99,84.2,10.29
367,Marawi,100,PH,1567541606,90,8.0,124.29,73.0,7.0
368,Sinnamary,0,GF,1567541845,81,5.38,-52.96,81.99,17.81
369,Limaong,100,PH,1567541845,79,7.36,122.37,79.83,6.2
370,Uralets,43,RU,1567541845,99,57.66,59.65,40.05,3.78
371,Konotop,0,UA,1567541845,67,51.24,33.21,64.53,3.47
372,Semey,100,KZ,1567541846,51,50.41,80.25,47.97,3.44
373,Nandu,90,CN,1567541846,94,31.44,119.33,69.8,2.24
374,Trincomalee,100,LK,1567541846,71,8.58,81.23,79.11,9.13
